# SHA-256 of each downloaded series. The series digest is the
# SHA-256 of its per-file digests, sorted and joined by newlines,
# so it does not depend on the order files arrive in.
# sha256  files  bytes  series_uid
457149cedeb3ae251905ce6c54dc04dacc241abe54bfa03de2ed4c8780528468  900  32901230  1.3.6.1.4.1.14519.5.2.1.179385176716845532368748332489576268670
a249ba0c6ffd589842d97ec90101fb945c512c0e9a47a193247581270133e8fe  60  6074820  1.3.6.1.4.1.14519.5.2.1.184098825878650560615579806534102676445
3020213571c8f7c2eca8bac425ac9faaabbd3e601f0ec6189dd658d2bc80dba5  64  6999216  1.3.6.1.4.1.14519.5.2.1.184337427316134441093504799768355128405
2461e5896692199857e4b5749ef48b07acf461e49c867273be346912fee0f0af  93  149758386  1.3.6.1.4.1.14519.5.2.1.186156082512406720669639741021646336338
b54d0eb1dfcf436305e78c897afa1b16e15777f039717c23278c4929a8319ea2  64  7001186  1.3.6.1.4.1.14519.5.2.1.186544297532697046110276656798280116508
9b0409c7234259387dd71f0e11958c689dad705302cb93a555d8ea0723771f85  192  19451056  1.3.6.1.4.1.14519.5.2.1.186741764579982510374386569731122553776
2c54e7cb6be2988b1e0334c848f7b2c01f0fbb8cd8225be9d44647288b5ff17b  93  149737534  1.3.6.1.4.1.14519.5.2.1.187270970534152246900280151303071728422
61d9f3e13e53e49669cade64183da40d22f235646eacbbfe919aa3f91d83851d  192  19448010  1.3.6.1.4.1.14519.5.2.1.189548890189640754604461141873210518898
0f8122d36d93afa223cab1d038f34caae6019821b76882bad7f7da5d964e2e91  192  19427980  1.3.6.1.4.1.14519.5.2.1.190221911103058917917909937571462545898
c4fbc5fe79c9fb304b3417d4b4b3dc046286a1847f68ae2d04e41fd2c532000a  192  19446468  1.3.6.1.4.1.14519.5.2.1.190805531997998095547950946511633053129
6be5043083173d07e33e8673cdc3e3ebe09c2a28dcb1b6a5d29cae704a05c32d  64  6999220  1.3.6.1.4.1.14519.5.2.1.190811688065898594324726469381779204783
0c2c6e9b74ccddb6e9196aa0803eae495d6b418482d99925d998becff54d570d  192  19429888  1.3.6.1.4.1.14519.5.2.1.194572831425720185471494789166161018133
3694efde186784c839b022a9f1be1a380d088d2396bb8dc8fae2a2465c764183  60  6082612  1.3.6.1.4.1.14519.5.2.1.196186410071092511433026914771675687523
9f8de519e9073da304c116796cbb55142a06a29217c0c59fd0b2ef287fb7de6a  192  19427590  1.3.6.1.4.1.14519.5.2.1.196393506088164082063147217854062413295
78f335fc60699175b7ced82440d86d45cf0f4eb0274bbcaecc8d72582138d69a  64  7001432  1.3.6.1.4.1.14519.5.2.1.196836755117948392319437464018763442346
c1fcf4fbb7df8784ee592edcbcec62375f2fbef31121b1fa742e2b35cec52e1c  900  16298432  1.3.6.1.4.1.14519.5.2.1.197123151789830673202718604368855029332
d3187b4776f1e43f4fd39a7e6cb2b20b501fc70d6ca39d59b35e3077001908aa  192  19451528  1.3.6.1.4.1.14519.5.2.1.197604921424406625901074749915178650182
39fa9ff630c2d78d82f5c892eac9d16be6bcf433d1261ecbba9c7a1f758b897c  93  149733426  1.3.6.1.4.1.14519.5.2.1.200010206066744911229417710672058269143
06003e0797057df5093a471d83014899ba065e231118dd9172ad8afd91b81ffd  192  19444132  1.3.6.1.4.1.14519.5.2.1.202017974625546424736475983085959614603
486e8701562bd9201b20c54cc820d27e4242930c4cb0f38a3227108648e53541  900  33123052  1.3.6.1.4.1.14519.5.2.1.202959989704180270145331755032411635261
d4b59762565c8098cd7b0b750188d3b8b793c66eb286ea3ca7431d5374d0978e  93  149762588  1.3.6.1.4.1.14519.5.2.1.204069231210915972982809788403546373074
99c139c8390027f6aada012746dc2073a7839cce1b0c44b8552f1585ffb63af9  60  6081460  1.3.6.1.4.1.14519.5.2.1.207612739523028774570300377516311855050
